id,dataset_version,split,domain,input_format,chart_type,chart_path,question_type,difficulty,unit,question,table_markdown,prompt
trdab_v01_000001,synthetic_v01,train,transportation,table_only,line,,value_lookup,easy,kişi,2024 yılında yolcu sayısı kaçtır?,"| Yıl | yolcu sayısı |
|---|---|
| 2020 | 1199382 |
| 2021 | 1305432 |
| 2022 | 1412590 |
| 2023 | 1511623 |
| 2024 | 1616768 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl, açıklama veya ekstra metin yazma. Örnek cevap formatı: 12345

Girdi türü: sadece tablo

Tablo:
| Yıl | yolcu sayısı |
|---|---|
| 2020 | 1199382 |
| 2021 | 1305432 |
| 2022 | 1412590 |
| 2023 | 1511623 |
| 2024 | 1616768 |

Soru:
2024 yılında yolcu sayısı kaçtır?"
trdab_v01_000002,synthetic_v01,train,transportation,chart_only,line,charts/synthetic_v01/chart_001_line.png,max_min,easy,kişi,Verilen verideki en düşük yolcu sayısı kaçtır?,,"Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl, açıklama veya ekstra metin yazma. Örnek cevap formatı: 12345

Girdi türü: sadece grafik

Grafik dosyası:
charts/synthetic_v01/chart_001_line.png

Soru:
Verilen verideki en düşük yolcu sayısı kaçtır?

Not: Bu örnekte tablo verilmemiştir. Cevabı grafik görselinden çıkar."
trdab_v01_000003,synthetic_v01,train,transportation,table_and_chart,line,charts/synthetic_v01/chart_001_line.png,comparison,medium,kişi,"2024 yılındaki yolcu sayısı, 2020 yılına göre kaç kişi farklıdır?","| Yıl | yolcu sayısı |
|---|---|
| 2020 | 1199382 |
| 2021 | 1305432 |
| 2022 | 1412590 |
| 2023 | 1511623 |
| 2024 | 1616768 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl, açıklama veya ekstra metin yazma. Örnek cevap formatı: 12345

Girdi türü: tablo ve grafik

Tablo:
| Yıl | yolcu sayısı |
|---|---|
| 2020 | 1199382 |
| 2021 | 1305432 |
| 2022 | 1412590 |
| 2023 | 1511623 |
| 2024 | 1616768 |

Grafik dosyası:
charts/synthetic_v01/chart_001_line.png

Soru:
2024 yılındaki yolcu sayısı, 2020 yılına göre kaç kişi farklıdır?"
trdab_v01_000004,synthetic_v01,train,transportation,table_only,line,,percentage_change,medium,percent,"2020 ile 2021 arasında yolcu sayısı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","| Yıl | yolcu sayısı |
|---|---|
| 2020 | 1199382 |
| 2021 | 1305432 |
| 2022 | 1412590 |
| 2023 | 1511623 |
| 2024 | 1616768 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal yüzde değişim değerini yaz. Artış için pozitif, azalış için negatif değer ver. Yüzde işareti, birim, açıklama veya ekstra metin yazma. Örnek cevap formatı: 8.8 veya -8.8

Girdi türü: sadece tablo

Tablo:
| Yıl | yolcu sayısı |
|---|---|
| 2020 | 1199382 |
| 2021 | 1305432 |
| 2022 | 1412590 |
| 2023 | 1511623 |
| 2024 | 1616768 |

Soru:
2020 ile 2021 arasında yolcu sayısı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver."
trdab_v01_000005,synthetic_v01,train,transportation,chart_only,line,charts/synthetic_v01/chart_001_line.png,trend_summary,medium,kişi,"Verilen veriye göre yolcu sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",,"Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece eğilimi tek kelimeyle yaz: artış, azalış veya dalgalı. Açıklama, sayı veya ekstra metin yazma.

Girdi türü: sadece grafik

Grafik dosyası:
charts/synthetic_v01/chart_001_line.png

Soru:
Verilen veriye göre yolcu sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.

Not: Bu örnekte tablo verilmemiştir. Cevabı grafik görselinden çıkar."
trdab_v01_000006,synthetic_v01,train,economy,table_and_chart,bar,charts/synthetic_v01/chart_002_bar.png,value_lookup,easy,milyon dolar,2018 yılında ihracat değeri kaçtır?,"| Yıl | ihracat değeri |
|---|---|
| 2018 | 211 |
| 2019 | 153 |
| 2020 | 172 |
| 2021 | 158 |
| 2022 | 179 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl, açıklama veya ekstra metin yazma. Örnek cevap formatı: 12345

Girdi türü: tablo ve grafik

Tablo:
| Yıl | ihracat değeri |
|---|---|
| 2018 | 211 |
| 2019 | 153 |
| 2020 | 172 |
| 2021 | 158 |
| 2022 | 179 |

Grafik dosyası:
charts/synthetic_v01/chart_002_bar.png

Soru:
2018 yılında ihracat değeri kaçtır?"
trdab_v01_000007,synthetic_v01,train,economy,table_only,bar,,max_min,easy,milyon dolar,Verilen verideki en yüksek ihracat değeri kaçtır?,"| Yıl | ihracat değeri |
|---|---|
| 2018 | 211 |
| 2019 | 153 |
| 2020 | 172 |
| 2021 | 158 |
| 2022 | 179 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl, açıklama veya ekstra metin yazma. Örnek cevap formatı: 12345

Girdi türü: sadece tablo

Tablo:
| Yıl | ihracat değeri |
|---|---|
| 2018 | 211 |
| 2019 | 153 |
| 2020 | 172 |
| 2021 | 158 |
| 2022 | 179 |

Soru:
Verilen verideki en yüksek ihracat değeri kaçtır?"
trdab_v01_000008,synthetic_v01,train,economy,chart_only,bar,charts/synthetic_v01/chart_002_bar.png,comparison,medium,milyon dolar,"2018 yılındaki ihracat değeri, 2021 yılına göre kaç milyon dolar farklıdır?",,"Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl, açıklama veya ekstra metin yazma. Örnek cevap formatı: 12345

Girdi türü: sadece grafik

Grafik dosyası:
charts/synthetic_v01/chart_002_bar.png

Soru:
2018 yılındaki ihracat değeri, 2021 yılına göre kaç milyon dolar farklıdır?

Not: Bu örnekte tablo verilmemiştir. Cevabı grafik görselinden çıkar."
trdab_v01_000009,synthetic_v01,train,economy,table_and_chart,bar,charts/synthetic_v01/chart_002_bar.png,percentage_change,medium,percent,"2020 ile 2022 arasında ihracat değeri yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","| Yıl | ihracat değeri |
|---|---|
| 2018 | 211 |
| 2019 | 153 |
| 2020 | 172 |
| 2021 | 158 |
| 2022 | 179 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal yüzde değişim değerini yaz. Artış için pozitif, azalış için negatif değer ver. Yüzde işareti, birim, açıklama veya ekstra metin yazma. Örnek cevap formatı: 8.8 veya -8.8

Girdi türü: tablo ve grafik

Tablo:
| Yıl | ihracat değeri |
|---|---|
| 2018 | 211 |
| 2019 | 153 |
| 2020 | 172 |
| 2021 | 158 |
| 2022 | 179 |

Grafik dosyası:
charts/synthetic_v01/chart_002_bar.png

Soru:
2020 ile 2022 arasında ihracat değeri yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver."
trdab_v01_000010,synthetic_v01,train,economy,table_only,bar,,trend_summary,medium,milyon dolar,"Verilen veriye göre ihracat değeri için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.","| Yıl | ihracat değeri |
|---|---|
| 2018 | 211 |
| 2019 | 153 |
| 2020 | 172 |
| 2021 | 158 |
| 2022 | 179 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece eğilimi tek kelimeyle yaz: artış, azalış veya dalgalı. Açıklama, sayı veya ekstra metin yazma.

Girdi türü: sadece tablo

Tablo:
| Yıl | ihracat değeri |
|---|---|
| 2018 | 211 |
| 2019 | 153 |
| 2020 | 172 |
| 2021 | 158 |
| 2022 | 179 |

Soru:
Verilen veriye göre ihracat değeri için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı."
trdab_v01_000011,synthetic_v01,train,education,chart_only,bar,charts/synthetic_v01/chart_003_bar.png,value_lookup,easy,öğrenci,2025 yılında öğrenci sayısı kaçtır?,,"Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl, açıklama veya ekstra metin yazma. Örnek cevap formatı: 12345

Girdi türü: sadece grafik

Grafik dosyası:
charts/synthetic_v01/chart_003_bar.png

Soru:
2025 yılında öğrenci sayısı kaçtır?

Not: Bu örnekte tablo verilmemiştir. Cevabı grafik görselinden çıkar."
trdab_v01_000012,synthetic_v01,train,education,table_and_chart,bar,charts/synthetic_v01/chart_003_bar.png,max_min,easy,öğrenci,Verilen verideki en düşük öğrenci sayısı kaçtır?,"| Yıl | öğrenci sayısı |
|---|---|
| 2020 | 25104 |
| 2021 | 26283 |
| 2022 | 26961 |
| 2023 | 28321 |
| 2024 | 29114 |
| 2025 | 30699 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl, açıklama veya ekstra metin yazma. Örnek cevap formatı: 12345

Girdi türü: tablo ve grafik

Tablo:
| Yıl | öğrenci sayısı |
|---|---|
| 2020 | 25104 |
| 2021 | 26283 |
| 2022 | 26961 |
| 2023 | 28321 |
| 2024 | 29114 |
| 2025 | 30699 |

Grafik dosyası:
charts/synthetic_v01/chart_003_bar.png

Soru:
Verilen verideki en düşük öğrenci sayısı kaçtır?"
trdab_v01_000013,synthetic_v01,train,education,table_only,bar,,comparison,medium,öğrenci,"2021 yılındaki öğrenci sayısı, 2024 yılına göre kaç öğrenci farklıdır?","| Yıl | öğrenci sayısı |
|---|---|
| 2020 | 25104 |
| 2021 | 26283 |
| 2022 | 26961 |
| 2023 | 28321 |
| 2024 | 29114 |
| 2025 | 30699 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl, açıklama veya ekstra metin yazma. Örnek cevap formatı: 12345

Girdi türü: sadece tablo

Tablo:
| Yıl | öğrenci sayısı |
|---|---|
| 2020 | 25104 |
| 2021 | 26283 |
| 2022 | 26961 |
| 2023 | 28321 |
| 2024 | 29114 |
| 2025 | 30699 |

Soru:
2021 yılındaki öğrenci sayısı, 2024 yılına göre kaç öğrenci farklıdır?"
trdab_v01_000014,synthetic_v01,train,education,chart_only,bar,charts/synthetic_v01/chart_003_bar.png,percentage_change,medium,percent,"2020 ile 2025 arasında öğrenci sayısı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.",,"Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal yüzde değişim değerini yaz. Artış için pozitif, azalış için negatif değer ver. Yüzde işareti, birim, açıklama veya ekstra metin yazma. Örnek cevap formatı: 8.8 veya -8.8

Girdi türü: sadece grafik

Grafik dosyası:
charts/synthetic_v01/chart_003_bar.png

Soru:
2020 ile 2025 arasında öğrenci sayısı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.

Not: Bu örnekte tablo verilmemiştir. Cevabı grafik görselinden çıkar."
trdab_v01_000015,synthetic_v01,train,education,table_and_chart,bar,charts/synthetic_v01/chart_003_bar.png,trend_summary,medium,öğrenci,"Verilen veriye göre öğrenci sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.","| Yıl | öğrenci sayısı |
|---|---|
| 2020 | 25104 |
| 2021 | 26283 |
| 2022 | 26961 |
| 2023 | 28321 |
| 2024 | 29114 |
| 2025 | 30699 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece eğilimi tek kelimeyle yaz: artış, azalış veya dalgalı. Açıklama, sayı veya ekstra metin yazma.

Girdi türü: tablo ve grafik

Tablo:
| Yıl | öğrenci sayısı |
|---|---|
| 2020 | 25104 |
| 2021 | 26283 |
| 2022 | 26961 |
| 2023 | 28321 |
| 2024 | 29114 |
| 2025 | 30699 |

Grafik dosyası:
charts/synthetic_v01/chart_003_bar.png

Soru:
Verilen veriye göre öğrenci sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı."
trdab_v01_000016,synthetic_v01,train,tourism,table_only,bar,,value_lookup,easy,kişi,2020 yılında ziyaretçi sayısı kaçtır?,"| Yıl | ziyaretçi sayısı |
|---|---|
| 2018 | 931896 |
| 2019 | 871923 |
| 2020 | 793286 |
| 2021 | 741578 |
| 2022 | 664884 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl, açıklama veya ekstra metin yazma. Örnek cevap formatı: 12345

Girdi türü: sadece tablo

Tablo:
| Yıl | ziyaretçi sayısı |
|---|---|
| 2018 | 931896 |
| 2019 | 871923 |
| 2020 | 793286 |
| 2021 | 741578 |
| 2022 | 664884 |

Soru:
2020 yılında ziyaretçi sayısı kaçtır?"
trdab_v01_000017,synthetic_v01,train,tourism,chart_only,bar,charts/synthetic_v01/chart_004_bar.png,max_min,easy,kişi,Verilen verideki en yüksek ziyaretçi sayısı kaçtır?,,"Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl, açıklama veya ekstra metin yazma. Örnek cevap formatı: 12345

Girdi türü: sadece grafik

Grafik dosyası:
charts/synthetic_v01/chart_004_bar.png

Soru:
Verilen verideki en yüksek ziyaretçi sayısı kaçtır?

Not: Bu örnekte tablo verilmemiştir. Cevabı grafik görselinden çıkar."
trdab_v01_000018,synthetic_v01,train,tourism,table_and_chart,bar,charts/synthetic_v01/chart_004_bar.png,comparison,medium,kişi,"2022 yılındaki ziyaretçi sayısı, 2020 yılına göre kaç kişi farklıdır?","| Yıl | ziyaretçi sayısı |
|---|---|
| 2018 | 931896 |
| 2019 | 871923 |
| 2020 | 793286 |
| 2021 | 741578 |
| 2022 | 664884 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl, açıklama veya ekstra metin yazma. Örnek cevap formatı: 12345

Girdi türü: tablo ve grafik

Tablo:
| Yıl | ziyaretçi sayısı |
|---|---|
| 2018 | 931896 |
| 2019 | 871923 |
| 2020 | 793286 |
| 2021 | 741578 |
| 2022 | 664884 |

Grafik dosyası:
charts/synthetic_v01/chart_004_bar.png

Soru:
2022 yılındaki ziyaretçi sayısı, 2020 yılına göre kaç kişi farklıdır?"
trdab_v01_000019,synthetic_v01,train,tourism,table_only,bar,,percentage_change,medium,percent,"2019 ile 2020 arasında ziyaretçi sayısı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","| Yıl | ziyaretçi sayısı |
|---|---|
| 2018 | 931896 |
| 2019 | 871923 |
| 2020 | 793286 |
| 2021 | 741578 |
| 2022 | 664884 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal yüzde değişim değerini yaz. Artış için pozitif, azalış için negatif değer ver. Yüzde işareti, birim, açıklama veya ekstra metin yazma. Örnek cevap formatı: 8.8 veya -8.8

Girdi türü: sadece tablo

Tablo:
| Yıl | ziyaretçi sayısı |
|---|---|
| 2018 | 931896 |
| 2019 | 871923 |
| 2020 | 793286 |
| 2021 | 741578 |
| 2022 | 664884 |

Soru:
2019 ile 2020 arasında ziyaretçi sayısı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver."
trdab_v01_000020,synthetic_v01,train,tourism,chart_only,bar,charts/synthetic_v01/chart_004_bar.png,trend_summary,medium,kişi,"Verilen veriye göre ziyaretçi sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",,"Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece eğilimi tek kelimeyle yaz: artış, azalış veya dalgalı. Açıklama, sayı veya ekstra metin yazma.

Girdi türü: sadece grafik

Grafik dosyası:
charts/synthetic_v01/chart_004_bar.png

Soru:
Verilen veriye göre ziyaretçi sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.

Not: Bu örnekte tablo verilmemiştir. Cevabı grafik görselinden çıkar."
trdab_v01_000021,synthetic_v01,train,energy,table_and_chart,bar,charts/synthetic_v01/chart_005_bar.png,value_lookup,easy,MWh,2023 yılında elektrik tüketimi kaçtır?,"| Yıl | elektrik tüketimi |
|---|---|
| 2020 | 93903 |
| 2021 | 87020 |
| 2022 | 96569 |
| 2023 | 88132 |
| 2024 | 88505 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl, açıklama veya ekstra metin yazma. Örnek cevap formatı: 12345

Girdi türü: tablo ve grafik

Tablo:
| Yıl | elektrik tüketimi |
|---|---|
| 2020 | 93903 |
| 2021 | 87020 |
| 2022 | 96569 |
| 2023 | 88132 |
| 2024 | 88505 |

Grafik dosyası:
charts/synthetic_v01/chart_005_bar.png

Soru:
2023 yılında elektrik tüketimi kaçtır?"
trdab_v01_000022,synthetic_v01,train,energy,table_only,bar,,max_min,easy,MWh,Verilen verideki en düşük elektrik tüketimi kaçtır?,"| Yıl | elektrik tüketimi |
|---|---|
| 2020 | 93903 |
| 2021 | 87020 |
| 2022 | 96569 |
| 2023 | 88132 |
| 2024 | 88505 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl, açıklama veya ekstra metin yazma. Örnek cevap formatı: 12345

Girdi türü: sadece tablo

Tablo:
| Yıl | elektrik tüketimi |
|---|---|
| 2020 | 93903 |
| 2021 | 87020 |
| 2022 | 96569 |
| 2023 | 88132 |
| 2024 | 88505 |

Soru:
Verilen verideki en düşük elektrik tüketimi kaçtır?"
