id,dataset_version,domain,input_format,chart_type,question_type,difficulty,question,answer,numeric_answer,unit,split,chart_path
trdab_v01_000001,synthetic_v01,transportation,table_only,line,value_lookup,easy,2024 yılında yolcu sayısı kaçtır?,2024 yılında yolcu sayısı 1.616.768 kişi olarak verilmiştir.,1616768.0,kişi,train,charts/synthetic_v01/chart_001_line.png
trdab_v01_000002,synthetic_v01,transportation,chart_only,line,max_min,easy,Verilen verideki en düşük yolcu sayısı kaçtır?,En düşük yolcu sayısı 1.199.382 kişi olarak verilmiştir. Bu değer 2020 yılında görülmüştür.,1199382.0,kişi,train,charts/synthetic_v01/chart_001_line.png
trdab_v01_000003,synthetic_v01,transportation,table_and_chart,line,comparison,medium,"2024 yılındaki yolcu sayısı, 2020 yılına göre kaç kişi farklıdır?","2024 yılındaki yolcu sayısı, 2020 yılına göre 417.386 kişi fazladır.",417386.0,kişi,train,charts/synthetic_v01/chart_001_line.png
trdab_v01_000004,synthetic_v01,transportation,table_only,line,percentage_change,medium,"2020 ile 2021 arasında yolcu sayısı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","2020 ile 2021 arasında yolcu sayısı yaklaşık %8,8 artmıştır.",8.8,percent,train,charts/synthetic_v01/chart_001_line.png
trdab_v01_000005,synthetic_v01,transportation,chart_only,line,trend_summary,medium,"Verilen veriye göre yolcu sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.","Verilen veri genel olarak yolcu sayısı için artış eğilimi göstermektedir. 2020 yılında 1.199.382 kişi olan değer, 2024 yılında 1.616.768 kişi seviyesine yükselmiştir.",,kişi,train,charts/synthetic_v01/chart_001_line.png
trdab_v01_000006,synthetic_v01,economy,table_and_chart,bar,value_lookup,easy,2018 yılında ihracat değeri kaçtır?,2018 yılında ihracat değeri 211 milyon dolar olarak verilmiştir.,211.0,milyon dolar,train,charts/synthetic_v01/chart_002_bar.png
trdab_v01_000007,synthetic_v01,economy,table_only,bar,max_min,easy,Verilen verideki en yüksek ihracat değeri kaçtır?,En yüksek ihracat değeri 211 milyon dolar olarak verilmiştir. Bu değer 2018 yılında görülmüştür.,211.0,milyon dolar,train,charts/synthetic_v01/chart_002_bar.png
trdab_v01_000008,synthetic_v01,economy,chart_only,bar,comparison,medium,"2018 yılındaki ihracat değeri, 2021 yılına göre kaç milyon dolar farklıdır?","2018 yılındaki ihracat değeri, 2021 yılına göre 53 milyon dolar fazladır.",53.0,milyon dolar,train,charts/synthetic_v01/chart_002_bar.png
trdab_v01_000009,synthetic_v01,economy,table_and_chart,bar,percentage_change,medium,"2020 ile 2022 arasında ihracat değeri yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","2020 ile 2022 arasında ihracat değeri yaklaşık %4,1 artmıştır.",4.1,percent,train,charts/synthetic_v01/chart_002_bar.png
trdab_v01_000010,synthetic_v01,economy,table_only,bar,trend_summary,medium,"Verilen veriye göre ihracat değeri için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",Verilen veri ihracat değeri için dalgalı bir eğilim göstermektedir. Yıllar arasında hem artış hem de azalış görüldüğü için tek yönlü güçlü bir eğilim yoktur.,,milyon dolar,train,charts/synthetic_v01/chart_002_bar.png
trdab_v01_000011,synthetic_v01,education,chart_only,bar,value_lookup,easy,2025 yılında öğrenci sayısı kaçtır?,2025 yılında öğrenci sayısı 30.699 öğrenci olarak verilmiştir.,30699.0,öğrenci,train,charts/synthetic_v01/chart_003_bar.png
trdab_v01_000012,synthetic_v01,education,table_and_chart,bar,max_min,easy,Verilen verideki en düşük öğrenci sayısı kaçtır?,En düşük öğrenci sayısı 25.104 öğrenci olarak verilmiştir. Bu değer 2020 yılında görülmüştür.,25104.0,öğrenci,train,charts/synthetic_v01/chart_003_bar.png
trdab_v01_000013,synthetic_v01,education,table_only,bar,comparison,medium,"2021 yılındaki öğrenci sayısı, 2024 yılına göre kaç öğrenci farklıdır?","2021 yılındaki öğrenci sayısı, 2024 yılına göre 2.831 öğrenci azdır.",2831.0,öğrenci,train,charts/synthetic_v01/chart_003_bar.png
trdab_v01_000014,synthetic_v01,education,chart_only,bar,percentage_change,medium,"2020 ile 2025 arasında öğrenci sayısı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","2020 ile 2025 arasında öğrenci sayısı yaklaşık %22,3 artmıştır.",22.3,percent,train,charts/synthetic_v01/chart_003_bar.png
trdab_v01_000015,synthetic_v01,education,table_and_chart,bar,trend_summary,medium,"Verilen veriye göre öğrenci sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.","Verilen veri genel olarak öğrenci sayısı için artış eğilimi göstermektedir. 2020 yılında 25.104 öğrenci olan değer, 2025 yılında 30.699 öğrenci seviyesine yükselmiştir.",,öğrenci,train,charts/synthetic_v01/chart_003_bar.png
trdab_v01_000016,synthetic_v01,tourism,table_only,bar,value_lookup,easy,2020 yılında ziyaretçi sayısı kaçtır?,2020 yılında ziyaretçi sayısı 793.286 kişi olarak verilmiştir.,793286.0,kişi,train,charts/synthetic_v01/chart_004_bar.png
trdab_v01_000017,synthetic_v01,tourism,chart_only,bar,max_min,easy,Verilen verideki en yüksek ziyaretçi sayısı kaçtır?,En yüksek ziyaretçi sayısı 931.896 kişi olarak verilmiştir. Bu değer 2018 yılında görülmüştür.,931896.0,kişi,train,charts/synthetic_v01/chart_004_bar.png
trdab_v01_000018,synthetic_v01,tourism,table_and_chart,bar,comparison,medium,"2022 yılındaki ziyaretçi sayısı, 2020 yılına göre kaç kişi farklıdır?","2022 yılındaki ziyaretçi sayısı, 2020 yılına göre 128.402 kişi azdır.",128402.0,kişi,train,charts/synthetic_v01/chart_004_bar.png
trdab_v01_000019,synthetic_v01,tourism,table_only,bar,percentage_change,medium,"2019 ile 2020 arasında ziyaretçi sayısı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.",2019 ile 2020 arasında ziyaretçi sayısı yaklaşık %9 azalmıştır.,-9.0,percent,train,charts/synthetic_v01/chart_004_bar.png
