id,dataset_version,split,domain,input_format,chart_type,chart_path,question_type,difficulty,unit,question,table_markdown,prompt
trdab_v02_000001,synthetic_v02,train,transportation,table_only,line,,value_lookup,easy,kişi,2020 yılında yolcu sayısı kaçtır?,"| Yıl | yolcu sayısı | sefer sayısı |
|---|---|---|
| 2020 | 1174274 | 41892 |
| 2021 | 1323035 | 39632 |
| 2022 | 1420103 | 40185 |
| 2023 | 1514889 | 37760 |
| 2024 | 1601221 | 44808 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl veya açıklama yazma. Örnek: 12345
Eğer soru verilen veriden cevaplanamıyorsa (istenen yıl veya veri tabloda/grafikte yoksa) cevap olarak sadece 'veri yok' yaz.

Girdi türü: sadece tablo

Tablo:
| Yıl | yolcu sayısı | sefer sayısı |
|---|---|---|
| 2020 | 1174274 | 41892 |
| 2021 | 1323035 | 39632 |
| 2022 | 1420103 | 40185 |
| 2023 | 1514889 | 37760 |
| 2024 | 1601221 | 44808 |

Soru:
2020 yılında yolcu sayısı kaçtır?"
trdab_v02_000002,synthetic_v02,train,transportation,chart_only,line,charts/synthetic_v02/chart_001_line.png,comparison,medium,kişi,"2023 yılındaki yolcu sayısı, 2024 yılına göre kaç kişi farklıdır?",,"Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl veya açıklama yazma. Örnek: 12345
Eğer soru verilen veriden cevaplanamıyorsa (istenen yıl veya veri tabloda/grafikte yoksa) cevap olarak sadece 'veri yok' yaz.

Girdi türü: sadece grafik

Grafik dosyası:
charts/synthetic_v02/chart_001_line.png

Soru:
2023 yılındaki yolcu sayısı, 2024 yılına göre kaç kişi farklıdır?

Not: Bu örnekte tablo verilmemiştir. Cevabı grafik görselinden çıkar."
trdab_v02_000003,synthetic_v02,train,transportation,table_and_chart,line,charts/synthetic_v02/chart_001_line.png,percentage_change,medium,percent,"2020 ile 2023 arasında yolcu sayısı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","| Yıl | yolcu sayısı | sefer sayısı |
|---|---|---|
| 2020 | 1174274 | 41892 |
| 2021 | 1323035 | 39632 |
| 2022 | 1420103 | 40185 |
| 2023 | 1514889 | 37760 |
| 2024 | 1601221 | 44808 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal yüzde değişim değerini yaz. Artış için pozitif, azalış için negatif değer ver. Örnek: 8.8 veya -8.8
Eğer soru verilen veriden cevaplanamıyorsa (istenen yıl veya veri tabloda/grafikte yoksa) cevap olarak sadece 'veri yok' yaz.

Girdi türü: tablo ve grafik

Tablo:
| Yıl | yolcu sayısı | sefer sayısı |
|---|---|---|
| 2020 | 1174274 | 41892 |
| 2021 | 1323035 | 39632 |
| 2022 | 1420103 | 40185 |
| 2023 | 1514889 | 37760 |
| 2024 | 1601221 | 44808 |

Grafik dosyası:
charts/synthetic_v02/chart_001_line.png

Soru:
2020 ile 2023 arasında yolcu sayısı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver."
trdab_v02_000004,synthetic_v02,train,transportation,table_only,line,,cross_series_diff,medium,kişi,2020 yılında yolcu sayısı ile sefer sayısı arasındaki fark kaçtır?,"| Yıl | yolcu sayısı | sefer sayısı |
|---|---|---|
| 2020 | 1174274 | 41892 |
| 2021 | 1323035 | 39632 |
| 2022 | 1420103 | 40185 |
| 2023 | 1514889 | 37760 |
| 2024 | 1601221 | 44808 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl veya açıklama yazma. Örnek: 12345
Eğer soru verilen veriden cevaplanamıyorsa (istenen yıl veya veri tabloda/grafikte yoksa) cevap olarak sadece 'veri yok' yaz.

Girdi türü: sadece tablo

Tablo:
| Yıl | yolcu sayısı | sefer sayısı |
|---|---|---|
| 2020 | 1174274 | 41892 |
| 2021 | 1323035 | 39632 |
| 2022 | 1420103 | 40185 |
| 2023 | 1514889 | 37760 |
| 2024 | 1601221 | 44808 |

Soru:
2020 yılında yolcu sayısı ile sefer sayısı arasındaki fark kaçtır?"
trdab_v02_000005,synthetic_v02,train,transportation,chart_only,line,charts/synthetic_v02/chart_001_line.png,average,hard,kişi,Tüm yıllar boyunca yolcu sayısı ortalaması yaklaşık kaçtır?,,"Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl veya açıklama yazma. Örnek: 12345
Eğer soru verilen veriden cevaplanamıyorsa (istenen yıl veya veri tabloda/grafikte yoksa) cevap olarak sadece 'veri yok' yaz.

Girdi türü: sadece grafik

Grafik dosyası:
charts/synthetic_v02/chart_001_line.png

Soru:
Tüm yıllar boyunca yolcu sayısı ortalaması yaklaşık kaçtır?

Not: Bu örnekte tablo verilmemiştir. Cevabı grafik görselinden çıkar."
trdab_v02_000006,synthetic_v02,train,transportation,table_and_chart,line,charts/synthetic_v02/chart_001_line.png,nth_highest,hard,kişi,yolcu sayısı açısından en yüksek 3. değer kaçtır?,"| Yıl | yolcu sayısı | sefer sayısı |
|---|---|---|
| 2020 | 1174274 | 41892 |
| 2021 | 1323035 | 39632 |
| 2022 | 1420103 | 40185 |
| 2023 | 1514889 | 37760 |
| 2024 | 1601221 | 44808 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl veya açıklama yazma. Örnek: 12345
Eğer soru verilen veriden cevaplanamıyorsa (istenen yıl veya veri tabloda/grafikte yoksa) cevap olarak sadece 'veri yok' yaz.

Girdi türü: tablo ve grafik

Tablo:
| Yıl | yolcu sayısı | sefer sayısı |
|---|---|---|
| 2020 | 1174274 | 41892 |
| 2021 | 1323035 | 39632 |
| 2022 | 1420103 | 40185 |
| 2023 | 1514889 | 37760 |
| 2024 | 1601221 | 44808 |

Grafik dosyası:
charts/synthetic_v02/chart_001_line.png

Soru:
yolcu sayısı açısından en yüksek 3. değer kaçtır?"
trdab_v02_000007,synthetic_v02,train,transportation,table_only,line,,trend_summary,medium,kişi,"Verilen veriye göre yolcu sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.","| Yıl | yolcu sayısı | sefer sayısı |
|---|---|---|
| 2020 | 1174274 | 41892 |
| 2021 | 1323035 | 39632 |
| 2022 | 1420103 | 40185 |
| 2023 | 1514889 | 37760 |
| 2024 | 1601221 | 44808 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece eğilimi tek kelimeyle yaz: artış, azalış veya dalgalı.
Eğer soru verilen veriden cevaplanamıyorsa (istenen yıl veya veri tabloda/grafikte yoksa) cevap olarak sadece 'veri yok' yaz.

Girdi türü: sadece tablo

Tablo:
| Yıl | yolcu sayısı | sefer sayısı |
|---|---|---|
| 2020 | 1174274 | 41892 |
| 2021 | 1323035 | 39632 |
| 2022 | 1420103 | 40185 |
| 2023 | 1514889 | 37760 |
| 2024 | 1601221 | 44808 |

Soru:
Verilen veriye göre yolcu sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı."
trdab_v02_000008,synthetic_v02,train,transportation,chart_only,line,charts/synthetic_v02/chart_001_line.png,unanswerable,hard,sefer,2022 yılında bilet geliri kaçtır?,,"Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl veya açıklama yazma. Örnek: 12345
Eğer soru verilen veriden cevaplanamıyorsa (istenen yıl veya veri tabloda/grafikte yoksa) cevap olarak sadece 'veri yok' yaz.

Girdi türü: sadece grafik

Grafik dosyası:
charts/synthetic_v02/chart_001_line.png

Soru:
2022 yılında bilet geliri kaçtır?

Not: Bu örnekte tablo verilmemiştir. Cevabı grafik görselinden çıkar."
trdab_v02_000009,synthetic_v02,train,economy,table_and_chart,bar,charts/synthetic_v02/chart_002_bar.png,value_lookup,easy,milyon dolar,2020 yılında ihracat değeri kaçtır?,"| Yıl | ihracat değeri | ithalat değeri |
|---|---|---|
| 2019 | 207 | 218 |
| 2020 | 188 | 206 |
| 2021 | 178 | 211 |
| 2022 | 153 | 210 |
| 2023 | 168 | 222 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl veya açıklama yazma. Örnek: 12345
Eğer soru verilen veriden cevaplanamıyorsa (istenen yıl veya veri tabloda/grafikte yoksa) cevap olarak sadece 'veri yok' yaz.

Girdi türü: tablo ve grafik

Tablo:
| Yıl | ihracat değeri | ithalat değeri |
|---|---|---|
| 2019 | 207 | 218 |
| 2020 | 188 | 206 |
| 2021 | 178 | 211 |
| 2022 | 153 | 210 |
| 2023 | 168 | 222 |

Grafik dosyası:
charts/synthetic_v02/chart_002_bar.png

Soru:
2020 yılında ihracat değeri kaçtır?"
trdab_v02_000010,synthetic_v02,train,economy,table_only,bar,,comparison,medium,milyon dolar,"2021 yılındaki ithalat değeri, 2020 yılına göre kaç milyon dolar farklıdır?","| Yıl | ihracat değeri | ithalat değeri |
|---|---|---|
| 2019 | 207 | 218 |
| 2020 | 188 | 206 |
| 2021 | 178 | 211 |
| 2022 | 153 | 210 |
| 2023 | 168 | 222 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl veya açıklama yazma. Örnek: 12345
Eğer soru verilen veriden cevaplanamıyorsa (istenen yıl veya veri tabloda/grafikte yoksa) cevap olarak sadece 'veri yok' yaz.

Girdi türü: sadece tablo

Tablo:
| Yıl | ihracat değeri | ithalat değeri |
|---|---|---|
| 2019 | 207 | 218 |
| 2020 | 188 | 206 |
| 2021 | 178 | 211 |
| 2022 | 153 | 210 |
| 2023 | 168 | 222 |

Soru:
2021 yılındaki ithalat değeri, 2020 yılına göre kaç milyon dolar farklıdır?"
