id,domain,input_format,chart_type,question_type,difficulty,answer_type,question,answer,numeric_answer,unit,split,chart_path
trdab_v02_000001,transportation,table_only,line,value_lookup,easy,numeric,2020 yılında yolcu sayısı kaçtır?,2020 yılında yolcu sayısı 1.174.274 kişi olarak verilmiştir.,1174274.0,kişi,train,charts/synthetic_v02/chart_001_line.png
trdab_v02_000002,transportation,chart_only,line,comparison,medium,numeric,"2023 yılındaki yolcu sayısı, 2024 yılına göre kaç kişi farklıdır?","2023 yılındaki yolcu sayısı, 2024 yılına göre 86.332 kişi azdır.",86332.0,kişi,train,charts/synthetic_v02/chart_001_line.png
trdab_v02_000003,transportation,table_and_chart,line,percentage_change,medium,numeric,"2020 ile 2023 arasında yolcu sayısı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.",2020 ile 2023 arasında yolcu sayısı yaklaşık %29 artmıştır.,29.0,percent,train,charts/synthetic_v02/chart_001_line.png
trdab_v02_000004,transportation,table_only,line,cross_series_diff,medium,numeric,2020 yılında yolcu sayısı ile sefer sayısı arasındaki fark kaçtır?,2020 yılında yolcu sayısı ile sefer sayısı arasındaki fark 1.132.382 kişi olarak hesaplanır (yolcu sayısı daha yüksektir).,1132382.0,kişi,train,charts/synthetic_v02/chart_001_line.png
trdab_v02_000005,transportation,chart_only,line,average,hard,numeric,Tüm yıllar boyunca yolcu sayısı ortalaması yaklaşık kaçtır?,"Tüm yıllar boyunca yolcu sayısı ortalaması yaklaşık 1.406.704,4 kişi olarak hesaplanır.",1406704.4,kişi,train,charts/synthetic_v02/chart_001_line.png
trdab_v02_000006,transportation,table_and_chart,line,nth_highest,hard,numeric_with_label,yolcu sayısı açısından en yüksek 3. değer kaçtır?,yolcu sayısı açısından en yüksek 3. değer 1.420.103 kişi olup 2022 yılında görülmüştür.,1420103.0,kişi,train,charts/synthetic_v02/chart_001_line.png
trdab_v02_000007,transportation,table_only,line,trend_summary,medium,text,"Verilen veriye göre yolcu sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.","yolcu sayısı genel olarak artış eğilimi göstermektedir. 2020 yılında 1.174.274 kişi olan değer, 2024 yılında 1.601.221 kişi olmuştur.",,kişi,train,charts/synthetic_v02/chart_001_line.png
trdab_v02_000008,transportation,chart_only,line,unanswerable,hard,abstention,2022 yılında bilet geliri kaçtır?,Bu soru verilen veriden cevaplanamaz çünkü bilet geliri verilen tabloda/grafikte bulunmamaktadır.,,sefer,train,charts/synthetic_v02/chart_001_line.png
trdab_v02_000009,economy,table_and_chart,bar,value_lookup,easy,numeric,2020 yılında ihracat değeri kaçtır?,2020 yılında ihracat değeri 188 milyon dolar olarak verilmiştir.,188.0,milyon dolar,train,charts/synthetic_v02/chart_002_bar.png
trdab_v02_000010,economy,table_only,bar,comparison,medium,numeric,"2021 yılındaki ithalat değeri, 2020 yılına göre kaç milyon dolar farklıdır?","2021 yılındaki ithalat değeri, 2020 yılına göre 5 milyon dolar fazladır.",5.0,milyon dolar,train,charts/synthetic_v02/chart_002_bar.png
