id,domain,question_type,question,answer,numeric_answer,split
trdab_reason_000001,transportation,cagr,"yolcu sayısı için 2017-2022 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %6,50.",6.5,train
trdab_reason_000002,transportation,fastest_change_year,yolcu sayısı bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2019 yılında olmuştur.,2019,train
trdab_reason_000003,transportation,longest_increase_streak,yolcu sayısı bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 5 yıldır.,5,train
trdab_reason_000004,transportation,conditional_average,yolcu sayısı değerinin 1.383.167 kişi değerinden büyük olduğu yıllardaki ortalama yolcu sayısı kaçtır?,Bu yıllardaki ortalama yaklaşık 1.565.394 kişi.,1565394.0,train
trdab_reason_000005,transportation,share_of_total,Tüm yılların toplam yolcu sayısı değeri içinde 2022 yılının payı yaklaşık yüzde kaçtır?,"2022 yılının payı yaklaşık %19,30.",19.3,train
trdab_reason_000006,transportation,ratio,"2021 yılında yolcu sayısı, sefer sayısı'nin yaklaşık kaç katıdır?","2021 yılında yolcu sayısı, sefer sayısı'nin yaklaşık 36,38 katıdır.",36.38,train
trdab_reason_000007,economy,cagr,"ihracat değeri için 2018-2023 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %6,60.",-6.6,train
trdab_reason_000008,economy,fastest_change_year,ihracat değeri bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2022 yılında olmuştur.,2022,train
trdab_reason_000009,economy,longest_increase_streak,ihracat değeri bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 0 yıldır.,0,train
trdab_reason_000010,economy,conditional_average,ihracat değeri değerinin 222 milyon dolar değerinden büyük olduğu yıllardaki ortalama ihracat değeri kaçtır?,Bu yıllardaki ortalama yaklaşık 257 milyon dolar.,257.0,train
