id,domain,question_type,question,numeric_answer,split
trdab_chard_000001,transportation,value_estimate,Grafiğe göre 2019 yılında iç hat yolcu yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,1554654.0,train
trdab_chard_000002,transportation,second_highest_year,Grafiğe göre iç hat yolcu en yüksek 2. değerine hangi yılda ulaşmıştır? Cevap olarak sadece yılı yaz.,2023.0,train
trdab_chard_000003,transportation,count_above,Grafiğe göre kaç yılda iç hat yolcu 1.549.237 kişi değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,6.0,train
trdab_chard_000004,transportation,closest_compare,Grafiğe göre 2018 ve 2019 yıllarından hangisinde iç hat yolcu daha yüksektir? Cevap olarak sadece yılı yaz.,2019.0,train
trdab_chard_000005,transportation,cross_closest_year,Grafiğe göre iç hat yolcu ile dış hat yolcu hangi yılda birbirine en yakındır? Cevap olarak sadece yılı yaz.,2021.0,train
trdab_chard_000006,transportation,trend_summary,"Grafiğe göre iç hat yolcu için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",,train
trdab_chard_000007,economy,value_estimate,Grafiğe göre 2016 yılında ihracat değeri yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,229.0,train
trdab_chard_000008,economy,second_highest_year,Grafiğe göre ihracat değeri en yüksek 2. değerine hangi yılda ulaşmıştır? Cevap olarak sadece yılı yaz.,2022.0,train
trdab_chard_000009,economy,count_above,Grafiğe göre kaç yılda ihracat değeri 240 milyon dolar değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,6.0,train
trdab_chard_000010,economy,closest_compare,Grafiğe göre 2019 ve 2020 yıllarından hangisinde ihracat değeri daha yüksektir? Cevap olarak sadece yılı yaz.,2019.0,train
trdab_chard_000011,economy,cross_closest_year,Grafiğe göre ihracat değeri ile ithalat değeri hangi yılda birbirine en yakındır? Cevap olarak sadece yılı yaz.,2017.0,train
trdab_chard_000012,economy,trend_summary,"Grafiğe göre ihracat değeri için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",,train
trdab_chard_000013,education,value_estimate,Grafiğe göre 2016 yılında kız öğrenci sayısı yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,22339.0,train
trdab_chard_000014,education,second_highest_year,Grafiğe göre kız öğrenci sayısı en yüksek 2. değerine hangi yılda ulaşmıştır? Cevap olarak sadece yılı yaz.,2015.0,train
trdab_chard_000015,education,count_above,Grafiğe göre kaç yılda kız öğrenci sayısı 24.385 öğrenci değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,6.0,train
trdab_chard_000016,education,closest_compare,Grafiğe göre 2019 ve 2021 yıllarından hangisinde kız öğrenci sayısı daha yüksektir? Cevap olarak sadece yılı yaz.,2019.0,train
trdab_chard_000017,education,cross_closest_year,Grafiğe göre kız öğrenci sayısı ile erkek öğrenci sayısı hangi yılda birbirine en yakındır? Cevap olarak sadece yılı yaz.,2014.0,train
trdab_chard_000018,education,trend_summary,"Grafiğe göre kız öğrenci sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",,train
trdab_chard_000019,tourism,value_estimate,Grafiğe göre 2018 yılında yerli ziyaretçi yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,773453.0,train
trdab_chard_000020,tourism,second_highest_year,Grafiğe göre yerli ziyaretçi en yüksek 2. değerine hangi yılda ulaşmıştır? Cevap olarak sadece yılı yaz.,2011.0,train
trdab_chard_000021,tourism,count_above,Grafiğe göre kaç yılda yerli ziyaretçi 850.000 kişi değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,6.0,train
trdab_chard_000022,tourism,closest_compare,Grafiğe göre 2017 ve 2018 yıllarından hangisinde yerli ziyaretçi daha yüksektir? Cevap olarak sadece yılı yaz.,2018.0,train
trdab_chard_000023,tourism,cross_closest_year,Grafiğe göre yerli ziyaretçi ile yabancı ziyaretçi hangi yılda birbirine en yakındır? Cevap olarak sadece yılı yaz.,2018.0,train
trdab_chard_000024,tourism,trend_summary,"Grafiğe göre yerli ziyaretçi için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",,train
trdab_chard_000025,energy,value_estimate,Grafiğe göre 2020 yılında gündüz tüketimi yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,95784.0,train
trdab_chard_000026,energy,second_highest_year,Grafiğe göre gündüz tüketimi en yüksek 2. değerine hangi yılda ulaşmıştır? Cevap olarak sadece yılı yaz.,2020.0,train
trdab_chard_000027,energy,count_above,Grafiğe göre kaç yılda gündüz tüketimi 89.000 MWh değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,6.0,train
trdab_chard_000028,energy,closest_compare,Grafiğe göre 2013 ve 2014 yıllarından hangisinde gündüz tüketimi daha yüksektir? Cevap olarak sadece yılı yaz.,2013.0,train
trdab_chard_000029,energy,cross_closest_year,Grafiğe göre gündüz tüketimi ile gece tüketimi hangi yılda birbirine en yakındır? Cevap olarak sadece yılı yaz.,2014.0,train
trdab_chard_000030,energy,trend_summary,"Grafiğe göre gündüz tüketimi için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",,train
trdab_chard_000031,health,value_estimate,Grafiğe göre 2017 yılında acil başvuru yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,335820.0,train
trdab_chard_000032,health,second_highest_year,Grafiğe göre acil başvuru en yüksek 2. değerine hangi yılda ulaşmıştır? Cevap olarak sadece yılı yaz.,2018.0,train
trdab_chard_000033,health,count_above,Grafiğe göre kaç yılda acil başvuru 304.172 başvuru değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,6.0,train
trdab_chard_000034,health,closest_compare,Grafiğe göre 2016 ve 2020 yıllarından hangisinde acil başvuru daha yüksektir? Cevap olarak sadece yılı yaz.,2020.0,train
trdab_chard_000035,health,cross_closest_year,Grafiğe göre acil başvuru ile poliklinik başvuru hangi yılda birbirine en yakındır? Cevap olarak sadece yılı yaz.,2020.0,train
trdab_chard_000036,health,trend_summary,"Grafiğe göre acil başvuru için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",,train
trdab_chard_000037,environment,value_estimate,Grafiğe göre 2015 yılında geri dönüşüm yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,11778.0,train
trdab_chard_000038,environment,second_highest_year,Grafiğe göre geri dönüşüm en yüksek 2. değerine hangi yılda ulaşmıştır? Cevap olarak sadece yılı yaz.,2012.0,train
trdab_chard_000039,environment,count_above,Grafiğe göre kaç yılda geri dönüşüm 11.000 ton değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,6.0,train
trdab_chard_000040,environment,closest_compare,Grafiğe göre 2014 ve 2015 yıllarından hangisinde geri dönüşüm daha yüksektir? Cevap olarak sadece yılı yaz.,2015.0,train
trdab_chard_000041,environment,cross_closest_year,Grafiğe göre geri dönüşüm ile kompost hangi yılda birbirine en yakındır? Cevap olarak sadece yılı yaz.,2016.0,train
trdab_chard_000042,environment,trend_summary,"Grafiğe göre geri dönüşüm için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",,train
trdab_chard_000043,sports,value_estimate,Grafiğe göre 2013 yılında amatör lisans yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,19508.0,train
trdab_chard_000044,sports,second_highest_year,Grafiğe göre amatör lisans en yüksek 2. değerine hangi yılda ulaşmıştır? Cevap olarak sadece yılı yaz.,2012.0,train
trdab_chard_000045,sports,count_above,Grafiğe göre kaç yılda amatör lisans 18.000 sporcu değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,6.0,train
trdab_chard_000046,sports,closest_compare,Grafiğe göre 2019 ve 2020 yıllarından hangisinde amatör lisans daha yüksektir? Cevap olarak sadece yılı yaz.,2020.0,train
trdab_chard_000047,sports,cross_closest_year,Grafiğe göre amatör lisans ile yıldız lisans hangi yılda birbirine en yakındır? Cevap olarak sadece yılı yaz.,2017.0,train
trdab_chard_000048,sports,trend_summary,"Grafiğe göre amatör lisans için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",,train
trdab_chard_000049,municipality,value_estimate,Grafiğe göre 2019 yılında açılan başvuru yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,68829.0,train
trdab_chard_000050,municipality,second_highest_year,Grafiğe göre açılan başvuru en yüksek 2. değerine hangi yılda ulaşmıştır? Cevap olarak sadece yılı yaz.,2020.0,train
trdab_chard_000051,municipality,count_above,Grafiğe göre kaç yılda açılan başvuru 68.000 başvuru değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,6.0,train
trdab_chard_000052,municipality,closest_compare,Grafiğe göre 2015 ve 2018 yıllarından hangisinde açılan başvuru daha yüksektir? Cevap olarak sadece yılı yaz.,2018.0,train
trdab_chard_000053,municipality,cross_closest_year,Grafiğe göre açılan başvuru ile çözülen başvuru hangi yılda birbirine en yakındır? Cevap olarak sadece yılı yaz.,2011.0,train
trdab_chard_000054,municipality,trend_summary,"Grafiğe göre açılan başvuru için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",,train
