id,domain,question_type,difficulty,question,answer,numeric_answer,split,chart_path
trdab_cr_000001,transportation,max_min_year,medium,Grafiğe göre en yüksek yolcu sayısı hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En yüksek yolcu sayısı 2025 yılında görülmüştür.,2025.0,train,charts/chart_read_v01/chart_001_line.png
trdab_cr_000002,transportation,max_min_year,medium,Grafiğe göre en düşük yolcu sayısı hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En düşük yolcu sayısı 2019 yılında görülmüştür.,2019.0,train,charts/chart_read_v01/chart_001_line.png
trdab_cr_000003,transportation,compare_years,medium,Grafiğe göre 2021 ve 2019 yıllarından hangisinde yolcu sayısı daha yüksektir? Cevap olarak sadece yılı yaz.,yolcu sayısı 2021 yılında daha yüksektir.,2021.0,train,charts/chart_read_v01/chart_001_line.png
trdab_cr_000004,transportation,count_above,hard,Grafiğe göre kaç yılda yolcu sayısı 1.450.000 kişi değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,4 yılda yolcu sayısı 1.450.000 kişi değerinin üzerindedir.,4.0,train,charts/chart_read_v01/chart_001_line.png
trdab_cr_000005,transportation,value_estimate,hard,Grafiğe göre 2024 yılında yolcu sayısı yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,2024 yılında yolcu sayısı yaklaşık 1.800.000 kişi.,1800000.0,train,charts/chart_read_v01/chart_001_line.png
trdab_cr_000006,transportation,trend_summary,medium,"Grafiğe göre yolcu sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",yolcu sayısı genel olarak artış eğilimi göstermektedir.,,train,charts/chart_read_v01/chart_001_line.png
trdab_cr_000007,economy,max_min_year,medium,Grafiğe göre en yüksek ihracat değeri hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En yüksek ihracat değeri 2024 yılında görülmüştür.,2024.0,train,charts/chart_read_v01/chart_002_bar.png
trdab_cr_000008,economy,max_min_year,medium,Grafiğe göre en düşük ihracat değeri hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En düşük ihracat değeri 2018 yılında görülmüştür.,2018.0,train,charts/chart_read_v01/chart_002_bar.png
trdab_cr_000009,economy,compare_years,medium,Grafiğe göre 2019 ve 2023 yıllarından hangisinde ihracat değeri daha yüksektir? Cevap olarak sadece yılı yaz.,ihracat değeri 2023 yılında daha yüksektir.,2023.0,train,charts/chart_read_v01/chart_002_bar.png
trdab_cr_000010,economy,count_above,hard,Grafiğe göre kaç yılda ihracat değeri 220 milyon dolar değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,4 yılda ihracat değeri 220 milyon dolar değerinin üzerindedir.,4.0,train,charts/chart_read_v01/chart_002_bar.png
